time,flux,flux_err
131.51170357028604,29892.494,6.0183363
131.5321380667956,29915.06,6.016568
131.55257246331166,29906.873,6.0160174
131.5730067598197,29924.246,6.0182595
131.59344115633576,29928.287,6.0148954
131.6138756529108,29938.674,6.018797
131.6343099494261,29942.066,6.01753
131.6547443459349,29955.1,6.0180035
131.67517884250992,29978.49,6.022273
131.69561323907692,29965.965,6.024003
131.71604753559222,29982.932,6.023747
131.7364819321665,29984.713,6.0234714
131.75691642873426,29995.133,6.023037
131.77735072530777,30006.428,6.0229344
131.79778512188204,30010.36,6.0225124
131.8182196184498,30014.604,6.0199995
131.83865391502331,30029.812,6.0219965
131.8590883115976,30038.678,6.025426
131.8795227081646,30044.123,6.027753
131.89995710479707,30038.133,6.025255
131.92039150137134,30057.25,6.0239296
131.94082589793834,30066.04,6.021471
131.96126029457082,30065.594,6.026003
131.9816946911451,30082.23,6.0304847
132.0021290877121,30094.38,6.02575
132.0225633843438,30092.96,6.0294495
132.04299788097705,30080.67,6.0274534
132.06343227754405,30108.748,6.0302854
132.08386657417577,30109.084,6.031598
132.10430097080825,30118.377,6.03411
132.12473546743422,30115.014,6.0327897
132.14516976400773,30134.297,6.0350385
132.1656041606402,30138.82,6.0285406
132.18603865726618,30140.371,6.031508
132.20647305389866,30149.121,6.03456
132.22690735053038,30159.906,6.035263
132.24734174716286,30152.95,6.024019
132.26777624378883,30169.44,6.0348983
132.28821054042055,30175.46,6.033633
132.30864493704576,30185.58,6.0339713
132.329079433679,30196.262,6.0377874
132.34951373031072,30182.41,6.0353208
132.3699481269432,30197.578,6.0347195
132.3903825235684,30210.16,6.0326157
132.4108169202591,30199.832,6.033717
132.4312513168843,30217.322,6.038808
132.45168571351678,30217.186,6.035798
132.47212021015002,30239.723,6.036314
132.49255450683995,30229.498,6.0376673
132.51298890346516,30237.254,6.0356956
132.53342320009688,30240.326,6.039391
132.55385769672284,30253.785,6.0437307
132.57429209335533,30245.697,6.036446
132.59472639004525,30265.383,6.0390143
132.6151608866785,30262.133,6.0378666
132.6355952833037,30271.475,6.0396314
132.6560296799944,30266.244,6.0442467
132.6764639766261,30272.674,6.0339394
132.69689847325208,30272.451,6.0369477
132.71733286988456,30289.154,6.0453553
132.73776716657449,30297.705,6.0363297
132.75820166320045,29894.482,6.0189543
132.77863605983293,29670.535,6.004569
132.79907035646465,29659.424,5.9975057
132.81950475314807,29782.752,6.0094686
132.8399392497813,30210.127,6.0329523
132.86037354641303,30316.559,6.0364413
132.88080794303823,30315.88,6.0392876
132.90124243967148,30311.666,6.038372
132.9216767363032,30330.691,6.0423303
132.9421111329284,30335.84,6.0411944
132.9625455296191,30328.947,6.0437684
132.98298002625233,30338.955,6.0403385
133.00341432287678,30321.928,6.0410295
133.02384871950926,30340.39,6.043033
133.04428311614174,30331.191,6.0418477
133.06471751276695,30343.365,6.0392
133.08515190939943,30350.945,6.045459
133.1055863059737,30348.139,6.045915
133.1260207025989,30364.299,6.048948
133.1464550992314,30336.814,6.0461497
133.16688949586387,30347.62,6.039572
133.18732389248908,30363.49,6.046673
133.20775838912232,30347.969,6.0518775
133.22819268569583,30338.65,6.041614
133.24862708232104,30360.797,6.0438147
133.2690614788953,30363.08,6.0483265
133.2894958755278,30350.8,6.051286
133.3099302720948,30356.752,6.04807
133.3303645687265,30359.443,6.042114
133.35079906530154,30347.762,6.0503745
133.37123346192675,30352.96,6.048789
133.39166785850102,30352.352,6.0486917
133.4121022550753,30359.723,6.052773
133.4325366516423,30366.572,6.0508456
133.45297104821657,30358.354,6.049368
133.47340534479008,30359.969,6.049382
133.49383984135784,30361.49,6.050803
133.5142742379321,30358.725,6.0501733
133.53470853450563,30356.404,6.050192
133.55514303107338,30362.365,6.049775
133.57557742758945,30349.156,6.051188
133.59601172416296,30364.867,6.0504475
133.61644612067175,30364.934,6.051286
133.6368806172468,30356.63,6.051028
133.6573150138138,30360.014,6.0498633
133.6777493103291,30341.031,6.0494967
133.69818380684592,30350.342,6.0510216
133.71861820336198,30345.756,6.0472407
133.73905249987,30347.266,6.049948
133.75948689638608,30341.988,6.048174
133.77992139289563,30350.562,6.051348
133.80035568941094,30334.99,6.0507684
133.820790085927,30344.88,6.050343
133.84122448244307,30338.754,6.049502
133.86165887889365,30329.795,6.050416
133.88209327540972,30332.7,6.048997
133.90252767186757,30339.441,6.0519104
133.92296206837636,30323.867,6.048853
133.94339646483422,30329.47,6.051688
133.96383086129208,30327.072,6.0495653
133.9842651577419,30323.783,6.051073
134.00469965420052,30317.924,6.0509887
134.02513405065838,30316.307,6.0479593
134.04556834705,30314.48,6.050039
134.0660028435086,30300.973,6.0481253
134.08643723990826,30314.879,6.051637
134.10687153635808,30295.762,6.051358
134.12730593275774,30289.748,6.0489187
134.14774042915815,30306.404,6.049429
134.16817482555052,30294.83,6.048815
134.1886091219494,30295.643,6.045912
134.20904361834982,30287.28,6.049836
134.2294780147422,30239.81,6.0452
134.24991231108288,29774.402,6.0190887
134.27034670748253,29649.25,6.011662
134.29078120381746,29641.656,6.011709
134.31121550015814,29781.625,6.0190535
134.3316498965578,30252.234,6.0473356
134.35208439289272,30273.975,6.04666
134.3725186891752,30264.63,6.0472064
134.39295308551664,,
134.4133874818508,30249.705,6.049607
134.43382187813404,30269.393,6.0476866
134.45425627447548,30247.59,6.047441
134.47469067075144,30241.977,6.047739
134.49512516703544,30247.86,6.047521
134.5155594633179,30234.584,6.044034
134.53599385959387,30231.992,6.042294
134.55642815581814,30237.402,6.0388618
134.57686265210214,30216.424,6.0369744
134.5972970483199,30212.154,6.0398197
134.61773134454415,30208.04,6.045745
134.63816574076918,30210.404,6.03941
134.6586002369877,30195.46,6.0401106
134.67903463321272,30198.26,6.0399604
134.69946902943775,30194.078,6.038751
134.7199034255973,30178.084,6.0397544
134.74033782176411,30181.453,6.039863
134.76077211793017,30182.033,6.043318
134.78120651408972,30172.648,6.0434337
134.8016410102573,30175.322,6.0431457
134.82207540642412,30173.533,6.0436687
134.84250970253197,30164.682,6.0414786
134.86294419869228,30170.613,6.0413814
134.8833785948009,30154.602,6.0367384
134.90381299090222,30155.098,6.04122
134.92424728701008,30145.004,6.038895
134.94468178311945,30138.635,6.038899
134.96511617916258,30147.01,6.037292
134.98555047521222,30147.941,6.040767
135.0059849712634,30119.69,6.0387683
135.02641936730652,30146.94,6.0432
135.04685366335616,30124.404,6.040065
135.06728805940656,30113.162,6.038486
135.08772255539225,30114.355,6.0414944
135.10815685138368,30108.568,6.0398903
135.1285912474341,30110.94,6.040929
135.14902574336156,30096.822,6.039602
135.16946013935376,30080.754,6.0351663
135.1898944353452,30097.354,6.0372953
135.2103288312719,30092.938,6.036497
135.23076332720666,30076.363,6.0372934
135.2511976231399,30080.408,6.0339627
135.2716320190666,30076.164,6.0325103
135.29206631494162,30069.527,6.030686
135.31250081087637,30072.307,6.034034
135.33293520674488,30072.484,6.0315156
135.3533695026199,30068.168,6.0364313
135.37380399849644,30067.045,6.0338354
135.39423839430674,30067.395,6.0308723
135.4146727901243,30056.152,6.030891
135.43510708599933,30053.053,6.0320635
135.4555415818104,30048.152,6.034512
135.47597597756976,30047.156,6.0340414
135.49641027338657,30044.951,6.032102
135.51684476913942,30038.729,6.0334535
135.5372791648988,30034.422,6.0316124
135.5577134606574,30035.076,6.026912
135.57814785641676,30033.596,6.022885
135.5985823521114,30034.78,6.0276294
135.6190166478118,30037.303,6.0262213
135.6394510435057,30022.709,6.0343394
135.6598855392076,30030.248,6.031986
135.68031993490877,30036.186,6.028251
135.70075423055096,30022.006,6.0275216
135.72118862618663,29854.666,6.0237637
135.74162312183034,29447.518,5.995409
135.76205741746526,29395.02,5.9928894
135.78249181305,29410.72,5.9919887
135.8029263086355,29681.262,6.0045547
135.8233606042195,30012.97,6.0283413
135.84379499979696,30022.037,6.0317597
135.8642293953235,30003.611,6.030348
135.88466379084275,30007.857,6.027338
135.9050981863693,30008.686,6.0232887
135.92553258189582,30004.883,6.024129
135.9459668774216,30008.572,6.0228305
135.9664013728834,29996.857,6.0194936
135.98683576835174,29999.469,6.026002
136.0072700638193,30005.676,6.0270467
136.0277045592229,30003.035,6.029482
136.04813895469124,30018.219,6.026799
136.0685732500424,30007.844,6.0189567
136.08900764544524,30002.062,6.026311
136.10944214085612,30008.766,6.025524
136.12987653620075,30007.336,6.025983
136.1503108315519,30001.16,6.0278897
136.17074532690458,30012.947,6.022941
136.19117972219829,30003.002,6.023808
136.21161401748395,30004.865,6.0224733
136.23204841277766,30005.377,6.0248346
136.25248290806485,30007.71,6.0209136
136.27291720329958,30003.434,6.0245357
136.29335159853508,30015.266,6.024587
136.31378609377134,30009.021,6.0311484
136.3342203889988,30002.037,6.0242295
136.3546547841761,29997.238,6.0219674
136.37508917935338,30003.615,6.0250735
136.3955235745234,30011.008,6.02544
136.41595796964248,30002.33,6.022541
136.43639236476156,30006.945,6.0224714
136.45682685987413,30014.139,6.024688
136.47726115499245,30017.137,6.026609
136.49769555005332,30014.822,6.023622
136.51812994510692,30008.004,6.0228686
136.5385643401678,30012.643,6.022237
136.55899873517046,30018.414,6.023961
136.57943313022406,30014.371,6.0240707
136.59986752522673,30038.992,6.0249915
136.6203019201712,30022.867,6.02982
136.64073631516658,30020.762,6.0236692
136.66117071005283,30018.041,6.0252213
